Date,Open,High,Low,Close,Adj Close,Volume
2016-03-01,null,null,null,null,null,null
2016-04-01,113.750000,120.790001,106.309998,117.580002,117.580002,741539300
2016-05-01,117.830002,121.080002,115.879997,118.809998,118.809998,460335600
2016-06-01,118.500000,119.440002,108.230003,114.279999,114.279999,450876100
2016-07-01,114.199997,128.330002,112.970001,123.940002,123.940002,470108600
2016-08-01,123.849998,126.730003,122.070000,126.120003,126.120003,365670900
2016-09-01,126.379997,131.979996,125.599998,128.270004,128.270004,376518100
2016-10-01,128.380005,133.500000,126.750000,130.990005,130.990005,313284400
2016-11-01,131.410004,131.940002,113.550003,118.419998,118.419998,643923800
2016-12-01,118.379997,122.500000,114.000000,115.050003,115.050003,408728400
2017-01-01,116.029999,133.139999,115.510002,130.320007,130.320007,378958900
2017-02-01,132.250000,137.179993,130.300003,135.539993,135.539993,384700500
2017-03-01,136.470001,142.949997,136.080002,142.050003,142.050003,342098600
2017-04-01,141.929993,151.529999,138.809998,150.250000,150.250000,275586300
2017-05-01,151.740005,153.600006,144.419998,151.460007,151.460007,403586900
2017-06-01,151.750000,156.500000,144.559998,150.979996,150.979996,414757100
2017-07-01,151.720001,175.490005,147.800003,169.250000,169.250000,419907600
2017-08-01,169.820007,173.050003,165.000000,171.970001,171.970001,303622800
2017-09-01,172.399994,174.000000,161.559998,170.869995,170.869995,304818300
2017-10-01,171.389999,180.800003,168.289993,180.059998,180.059998,318146600
2017-11-01,182.360001,184.250000,174.000000,177.179993,177.179993,350998700
2017-12-01,176.029999,182.279999,169.009995,176.460007,176.460007,316990500
2018-01-01,177.679993,190.660004,175.800003,186.889999,186.889999,495411300
2018-02-01,188.220001,195.320007,167.179993,178.320007,178.320007,516251600
2018-03-01,179.009995,186.100006,149.020004,159.789993,159.789993,995523100
2018-04-01,157.809998,177.100006,150.509995,172.000000,172.000000,749046400
2018-05-01,172.000000,192.720001,170.229996,191.779999,191.779999,401144100
2018-06-01,193.070007,203.550003,186.429993,194.320007,194.320007,387265600
2018-07-01,193.369995,218.619995,166.559998,172.580002,172.580002,647030700
2018-08-01,173.929993,188.300003,170.270004,175.729996,175.729996,548743400
2018-09-01,173.500000,173.889999,158.869995,164.460007,164.460007,500357000
2018-10-01,163.029999,165.880005,139.029999,151.789993,151.789993,622446300
2018-11-01,151.520004,154.130005,126.849998,140.610001,140.610001,518151700
2018-12-01,143.000000,147.190002,123.019997,131.089996,131.089996,558786200
2019-01-01,128.990005,171.679993,128.559998,166.690002,166.690002,527547900
2019-02-01,165.839996,172.470001,159.589996,161.449997,161.449997,302243200
2019-03-01,162.600006,173.570007,161.690002,172.509995,172.509995,79109000
